threshold,triggered_queries,trigger_rate,schema_miss_recall,schema_misses_captured,ready_correct_triggered,false_trigger_rate_ready_correct,true_rescuable_k2_captured,true_rescuable_k3_captured,true_rescuable_k5_captured,true_rescuable_k10_captured
0.01,4,0.012084592145015106,0.1,3,1,0.004048582995951417,0,1,1,1
0.02,13,0.03927492447129909,0.3333333333333333,10,1,0.004048582995951417,2,3,3,5
0.03,17,0.0513595166163142,0.4,12,3,0.012145748987854251,2,3,3,6
0.05,27,0.08157099697885196,0.6,18,6,0.024291497975708502,2,3,3,7
0.075,40,0.12084592145015106,0.8,24,8,0.032388663967611336,3,4,5,9
0.1,58,0.17522658610271905,0.9,27,21,0.08502024291497975,3,5,6,10
