method,k,rule,threshold,reranked_queries,schema_R1,instantiation_ready,ready_count,coverage,type_match,schema_recoveries,schema_regressions,ready_gains,ready_losses
selective_k2_margin0.075_R4_verified_cov_type_tfidf,2,R4_verified_cov_type_tfidf,0.075,40,0.9063444108761329,0.797583081570997,264,0.900784244288776,0.8726933774516857,3,4,7,0
selective_k2_margin0.075_R5_small_consistency_score,2,R5_small_consistency_score,0.075,40,0.9093655589123867,0.7764350453172205,257,0.8794302206688914,0.8515453411979093,0,0,0,0
selective_k2_margin0.1_R3_ready_cov_type_tfidf,2,R3_ready_cov_type_tfidf,0.1,58,0.9154078549848943,0.797583081570997,264,0.900784244288776,0.8726933774516857,3,1,7,0
selective_k2_margin0.1_R4_verified_cov_type_tfidf,2,R4_verified_cov_type_tfidf,0.1,58,0.9033232628398792,0.797583081570997,264,0.900784244288776,0.8726933774516857,3,5,7,0
selective_k2_margin0.1_R5_small_consistency_score,2,R5_small_consistency_score,0.1,58,0.9093655589123867,0.7764350453172205,257,0.8794302206688914,0.8515453411979093,0,0,0,0
selective_k3_margin0.01_R3_ready_cov_type_tfidf,3,R3_ready_cov_type_tfidf,0.01,4,0.9063444108761329,0.7794561933534743,258,0.8824513687051452,0.8549021723493022,0,1,1,0
selective_k3_margin0.01_R4_verified_cov_type_tfidf,3,R4_verified_cov_type_tfidf,0.01,4,0.9063444108761329,0.7794561933534743,258,0.8824513687051452,0.8549021723493022,0,1,1,0
selective_k3_margin0.01_R5_small_consistency_score,3,R5_small_consistency_score,0.01,4,0.9093655589123867,0.7794561933534743,258,0.8824513687051452,0.854566489234163,0,0,1,0
selective_k3_margin0.02_R3_ready_cov_type_tfidf,3,R3_ready_cov_type_tfidf,0.02,13,0.9123867069486404,0.7915407854984894,262,0.8945359608501603,0.8669867644943173,2,1,5,0
selective_k3_margin0.02_R4_verified_cov_type_tfidf,3,R4_verified_cov_type_tfidf,0.02,13,0.9123867069486404,0.7915407854984894,262,0.8945359608501603,0.8669867644943173,2,1,5,0
selective_k3_margin0.02_R5_small_consistency_score,3,R5_small_consistency_score,0.02,13,0.9154078549848943,0.7915407854984894,262,0.8945359608501603,0.8666510813791781,2,0,5,0
selective_k3_margin0.03_R3_ready_cov_type_tfidf,3,R3_ready_cov_type_tfidf,0.03,17,0.9123867069486404,0.7945619335347432,263,0.897557108886414,0.8700079125305712,2,1,6,0
selective_k3_margin0.03_R4_verified_cov_type_tfidf,3,R4_verified_cov_type_tfidf,0.03,17,0.9123867069486404,0.7945619335347432,263,0.897557108886414,0.8700079125305712,2,1,6,0
selective_k3_margin0.03_R5_small_consistency_score,3,R5_small_consistency_score,0.03,17,0.9154078549848943,0.7945619335347432,263,0.897557108886414,0.8696722294154319,2,0,6,0
selective_k3_margin0.05_R3_ready_cov_type_tfidf,3,R3_ready_cov_type_tfidf,0.05,27,0.9093655589123867,0.797583081570997,264,0.900784244288776,0.8730290605668249,2,2,7,0
selective_k3_margin0.05_R4_verified_cov_type_tfidf,3,R4_verified_cov_type_tfidf,0.05,27,0.9093655589123867,0.797583081570997,264,0.900784244288776,0.8730290605668249,2,2,7,0
selective_k3_margin0.05_R5_small_consistency_score,3,R5_small_consistency_score,0.05,27,0.9154078549848943,0.7945619335347432,263,0.897557108886414,0.8696722294154319,2,0,6,0
selective_k3_margin0.075_R3_ready_cov_type_tfidf,3,R3_ready_cov_type_tfidf,0.075,40,0.9123867069486404,0.8006042296072508,265,0.9038053923250298,0.8760502086030787,3,2,8,0
selective_k3_margin0.075_R4_verified_cov_type_tfidf,3,R4_verified_cov_type_tfidf,0.075,40,0.9033232628398792,0.8006042296072508,265,0.9038053923250298,0.8760502086030787,3,5,8,0
selective_k3_margin0.075_R5_small_consistency_score,3,R5_small_consistency_score,0.075,40,0.918429003021148,0.797583081570997,264,0.9005782569226678,0.8726933774516857,3,0,7,0
selective_k3_margin0.1_R3_ready_cov_type_tfidf,3,R3_ready_cov_type_tfidf,0.1,58,0.9154078549848943,0.8036253776435045,266,0.9068265403612836,0.8790713566393324,4,2,9,0
selective_k3_margin0.1_R4_verified_cov_type_tfidf,3,R4_verified_cov_type_tfidf,0.1,58,0.9033232628398792,0.8036253776435045,266,0.9068265403612836,0.8790713566393324,4,6,9,0
selective_k3_margin0.1_R5_small_consistency_score,3,R5_small_consistency_score,0.1,58,0.918429003021148,0.797583081570997,264,0.9005782569226678,0.8726933774516857,3,0,7,0
selective_k5_margin0.01_R3_ready_cov_type_tfidf,5,R3_ready_cov_type_tfidf,0.01,4,0.9063444108761329,0.7794561933534743,258,0.8824513687051452,0.8549021723493022,0,1,1,0
selective_k5_margin0.01_R4_verified_cov_type_tfidf,5,R4_verified_cov_type_tfidf,0.01,4,0.9063444108761329,0.7794561933534743,258,0.8824513687051452,0.8549021723493022,0,1,1,0
selective_k5_margin0.01_R5_small_consistency_score,5,R5_small_consistency_score,0.01,4,0.9093655589123867,0.7794561933534743,258,0.8824513687051452,0.854566489234163,0,0,1,0
selective_k5_margin0.02_R3_ready_cov_type_tfidf,5,R3_ready_cov_type_tfidf,0.02,13,0.9093655589123867,0.7945619335347432,263,0.8960465348682872,0.8669867644943173,2,2,6,0
selective_k5_margin0.02_R4_verified_cov_type_tfidf,5,R4_verified_cov_type_tfidf,0.02,13,0.9093655589123867,0.7945619335347432,263,0.8960465348682872,0.8669867644943173,2,2,6,0
selective_k5_margin0.02_R5_small_consistency_score,5,R5_small_consistency_score,0.02,13,0.9154078549848943,0.7915407854984894,262,0.8945359608501603,0.8666510813791781,2,0,5,0
selective_k5_margin0.03_R3_ready_cov_type_tfidf,5,R3_ready_cov_type_tfidf,0.03,17,0.9093655589123867,0.797583081570997,264,0.899067682904541,0.8700079125305712,2,2,7,0
selective_k5_margin0.03_R4_verified_cov_type_tfidf,5,R4_verified_cov_type_tfidf,0.03,17,0.9093655589123867,0.797583081570997,264,0.899067682904541,0.8700079125305712,2,2,7,0
selective_k5_margin0.03_R5_small_consistency_score,5,R5_small_consistency_score,0.03,17,0.9154078549848943,0.7945619335347432,263,0.897557108886414,0.8696722294154319,2,0,6,0
selective_k5_margin0.05_R3_ready_cov_type_tfidf,5,R3_ready_cov_type_tfidf,0.05,27,0.9063444108761329,0.8036253776435045,266,0.9053159663431567,0.8760502086030787,2,3,9,0
selective_k5_margin0.05_R4_verified_cov_type_tfidf,5,R4_verified_cov_type_tfidf,0.05,27,0.9063444108761329,0.8036253776435045,266,0.9053159663431567,0.8760502086030787,2,3,9,0
selective_k5_margin0.05_R5_small_consistency_score,5,R5_small_consistency_score,0.05,27,0.9154078549848943,0.8006042296072508,265,0.9035994049589217,0.8757145254879395,2,0,8,0
selective_k5_margin0.075_R3_ready_cov_type_tfidf,5,R3_ready_cov_type_tfidf,0.075,40,0.9123867069486404,0.8096676737160121,268,0.9113582624156642,0.8820925046755862,4,3,11,0
selective_k5_margin0.075_R4_verified_cov_type_tfidf,5,R4_verified_cov_type_tfidf,0.075,40,0.9033232628398792,0.8096676737160121,268,0.9113582624156642,0.8820925046755862,4,6,11,0
selective_k5_margin0.075_R5_small_consistency_score,5,R5_small_consistency_score,0.075,40,0.918429003021148,0.8036253776435045,266,0.9066205529951754,0.8787356735241932,3,0,9,0
selective_k5_margin0.1_R3_ready_cov_type_tfidf,5,R3_ready_cov_type_tfidf,0.1,58,0.9154078549848943,0.8126888217522659,269,0.9143794104519181,0.8851136527118401,5,3,12,0
selective_k5_margin0.1_R4_verified_cov_type_tfidf,5,R4_verified_cov_type_tfidf,0.1,58,0.9033232628398792,0.8126888217522659,269,0.9143794104519181,0.8851136527118401,5,7,12,0
selective_k5_margin0.1_R5_small_consistency_score,5,R5_small_consistency_score,0.1,58,0.9214501510574018,0.8066465256797583,267,0.9096417010314292,0.881756821560447,4,0,10,0
