instance_id,m0_inst_ready,m2_inst_ready,transition,m0_coverage,m2_coverage,m0_type_match,m2_type_match,m0_n_filled,m2_n_filled,n_expected
nlp4lp_test_100,1,1,unchanged_ready,1.0,1.0,1.0,1.0,9,9,9
nlp4lp_test_109,0,0,unchanged_not_ready,1.0,1.0,0.25,0.25,8,8,8
nlp4lp_test_11,1,1,unchanged_ready,1.0,1.0,1.0,1.0,8,8,8
nlp4lp_test_111,1,1,unchanged_ready,1.0,1.0,1.0,1.0,4,4,4
nlp4lp_test_112,1,1,unchanged_ready,1.0,1.0,1.0,1.0,7,7,7
nlp4lp_test_118,0,0,unchanged_not_ready,1.0,1.0,0.6,0.6,5,5,5
nlp4lp_test_134,1,1,unchanged_ready,1.0,1.0,1.0,1.0,3,3,3
nlp4lp_test_138,1,0,regressed,1.0,1.0,1.0,0.666667,6,6,6
nlp4lp_test_140,1,1,unchanged_ready,1.0,1.0,1.0,1.0,7,7,7
nlp4lp_test_142,1,1,unchanged_ready,1.0,1.0,1.0,1.0,6,6,6
nlp4lp_test_145,1,1,unchanged_ready,1.0,1.0,1.0,1.0,3,3,3
nlp4lp_test_15,1,0,regressed,1.0,1.0,1.0,0.5,8,8,8
nlp4lp_test_155,1,1,unchanged_ready,1.0,1.0,1.0,1.0,3,3,3
nlp4lp_test_162,1,1,unchanged_ready,1.0,1.0,1.0,1.0,6,6,6
nlp4lp_test_17,1,1,unchanged_ready,1.0,1.0,1.0,1.0,9,9,9
nlp4lp_test_171,1,1,unchanged_ready,1.0,1.0,1.0,1.0,7,7,7
nlp4lp_test_19,1,0,regressed,1.0,1.0,1.0,0.75,4,4,4
nlp4lp_test_198,1,1,unchanged_ready,1.0,1.0,1.0,1.0,11,11,11
nlp4lp_test_199,1,1,unchanged_ready,1.0,1.0,1.0,1.0,2,2,2
nlp4lp_test_2,1,1,unchanged_ready,1.0,1.0,1.0,0.875,8,8,8
nlp4lp_test_200,1,1,unchanged_ready,1.0,1.0,1.0,1.0,7,7,7
nlp4lp_test_205,1,1,unchanged_ready,1.0,1.0,1.0,1.0,3,3,3
nlp4lp_test_210,1,0,regressed,1.0,1.0,1.0,0.666667,6,6,6
nlp4lp_test_22,1,1,unchanged_ready,1.0,1.0,1.0,1.0,3,3,3
nlp4lp_test_224,1,1,unchanged_ready,1.0,1.0,1.0,1.0,7,7,7
nlp4lp_test_226,1,1,unchanged_ready,1.0,1.0,1.0,1.0,7,7,7
nlp4lp_test_233,1,1,unchanged_ready,1.0,1.0,1.0,1.0,6,6,6
nlp4lp_test_253,0,1,improved,1.0,1.0,0.6666666666666666,0.833333,6,6,6
nlp4lp_test_255,1,1,unchanged_ready,1.0,1.0,1.0,1.0,7,7,7
nlp4lp_test_257,1,1,unchanged_ready,1.0,1.0,1.0,1.0,8,8,8
nlp4lp_test_263,1,1,unchanged_ready,1.0,1.0,1.0,1.0,6,6,6
nlp4lp_test_272,1,0,regressed,1.0,1.0,1.0,0.5,6,6,6
nlp4lp_test_273,1,1,unchanged_ready,1.0,1.0,1.0,1.0,9,9,9
nlp4lp_test_291,1,1,unchanged_ready,1.0,1.0,1.0,1.0,3,3,3
nlp4lp_test_294,0,1,improved,0.5,1.0,1.0,1.0,1,2,2
nlp4lp_test_305,0,0,unchanged_not_ready,0.0,0.0,0.0,0.0,0,0,5
nlp4lp_test_310,1,1,unchanged_ready,1.0,1.0,1.0,1.0,2,2,2
nlp4lp_test_34,1,1,unchanged_ready,1.0,1.0,1.0,1.0,4,4,4
nlp4lp_test_49,0,1,improved,1.0,1.0,0.6666666666666666,1.0,6,6,6
nlp4lp_test_53,1,1,unchanged_ready,1.0,1.0,1.0,1.0,3,3,3
nlp4lp_test_60,1,1,unchanged_ready,1.0,1.0,1.0,1.0,8,8,8
nlp4lp_test_73,1,1,unchanged_ready,1.0,1.0,1.0,1.0,2,2,2
nlp4lp_test_74,1,1,unchanged_ready,1.0,1.0,1.0,1.0,9,9,9
nlp4lp_test_8,1,0,regressed,1.0,1.0,1.0,0.333333,3,3,3
nlp4lp_test_86,1,1,unchanged_ready,1.0,1.0,1.0,1.0,3,3,3
nlp4lp_test_89,1,1,unchanged_ready,1.0,1.0,1.0,1.0,3,3,3
nlp4lp_test_9,1,1,unchanged_ready,1.0,1.0,1.0,1.0,2,2,2
nlp4lp_test_91,1,1,unchanged_ready,1.0,1.0,1.0,1.0,4,4,4
nlp4lp_test_92,1,1,unchanged_ready,1.0,1.0,1.0,1.0,7,7,7
nlp4lp_test_97,0,0,unchanged_not_ready,1.0,1.0,0.6666666666666666,0.666667,9,9,9
