comparison,diff,ci_lo_95,ci_hi_95,p_two_sided,n,B,seed
"TFIDF-TG vs Oracle-TG (InstantiationReady, standard)",-0.0393,-0.0665,-0.0151,0.004,331,1000,42
TFIDF-TG vs Oracle-TG (StrictInstantiationReady),-0.0634,-0.0906,-0.0393,0.0,331,1000,42
