variant,baseline,schema_R1,param_coverage,type_match,exact5_on_hits,exact20_on_hits,param_coverage_hits,param_coverage_miss,type_match_hits,type_match_miss,key_overlap,key_overlap_hits,key_overlap_miss,instantiation_ready,n
noisy,bge_m3,0.9425981873111783,0.8081973517862979,0.16813658815169388,0.18688888888888888,0.1918888888888889,0.8360469768416601,0.3508771929824562,0.16235003422503422,0.2631578947368421,0.9504387857862178,0.99496336996337,0.2192982456140351,0.04229607250755287,331
orig,bge_m3,0.945619335347432,0.9154005000193022,0.8946226147132492,0.21154353530591152,0.24362519585291864,0.9424842348446935,0.4444444444444444,0.920511455175992,0.4444444444444444,0.9544669831678896,0.9949794614331356,0.25,0.824773413897281,331
orig,oracle,1.0,0.9415837830001683,0.9221078686335484,0.21874109397546898,0.2416505803224553,0.9415837830001683,,0.9221078686335484,,0.9952524816573155,0.9952524816573155,,0.851963746223565,331
orig,tfidf,0.9093655589123867,0.888565596873754,0.8647855333655937,0.21423141577780752,0.23923302737735724,0.9439043606817693,0.3333333333333333,0.917754191176118,0.3333333333333333,0.9217810386994677,0.994779307071666,0.18936507936507938,0.8036253776435045,331
short,bge_m3,0.8157099697885196,0.10888361386850813,0.29254783484390734,0.22857142857142856,0.23174603174603173,0.1325573192239859,0.004098360655737705,0.35493827160493824,0.01639344262295082,0.8255766556370786,0.9978835978835979,0.06290658339838667,0.021148036253776436,331
