method,variant,n,schema_R1,Coverage,TypeMatch,InstReady
tfidf,orig,331,0.9094,0.8639,0.7513,0.5257
tfidf,noisy,331,0.9033,0.7693,0.1414,0.0393
tfidf,short,331,0.7795,0.105,0.2286,0.0151
bm25,orig,331,0.8822,0.8509,0.7386,0.5196
bm25,noisy,331,0.8912,0.762,0.1409,0.0423
bm25,short,331,0.7674,0.1062,0.2301,0.0151
oracle,orig,331,1.0,0.9151,0.803,0.565
oracle,noisy,331,1.0,0.8196,0.1524,0.0423
oracle,short,331,1.0,0.1258,0.2709,0.0151
tfidf_acceptance_rerank,orig,331,0.8731,0.8332,0.734,0.5227
tfidf_acceptance_rerank,noisy,331,0.864,0.7312,0.14,0.0423
tfidf_acceptance_rerank,short,331,0.7734,0.113,0.2377,0.0211
tfidf_hierarchical_acceptance_rerank,orig,331,0.8459,0.8121,0.7146,0.5136
tfidf_hierarchical_acceptance_rerank,noisy,331,0.8187,0.6956,0.138,0.0423
tfidf_hierarchical_acceptance_rerank,short,331,0.7372,0.1062,0.2261,0.0211
tfidf_optimization_role_repair,orig,331,0.9094,0.8248,0.7036,0.4411
tfidf_optimization_role_repair,noisy,331,0.9033,0.7103,0.0,0.0
tfidf_optimization_role_repair,short,331,0.7795,0.0318,0.0725,0.006
tfidf_global_compat_local,orig,331,0.9094,0.824,0.6888,0.4169
tfidf_global_compat_local,noisy,331,0.9033,0.7103,0.0,0.0
tfidf_global_compat_local,short,331,0.7795,0.0318,0.0725,0.006
tfidf_global_compat_pairwise,orig,331,0.9094,0.8147,0.6935,0.423
tfidf_global_compat_pairwise,noisy,331,0.9033,0.697,0.0,0.0
tfidf_global_compat_pairwise,short,331,0.7795,0.0318,0.0725,0.006
tfidf_global_compat_full,orig,331,0.9094,0.8152,0.6964,0.432
tfidf_global_compat_full,noisy,331,0.9033,0.6967,0.0,0.0
tfidf_global_compat_full,short,331,0.7795,0.0318,0.0725,0.006
tfidf_relation_aware_basic,orig,331,0.9094,0.8219,0.7223,0.4985
tfidf_relation_aware_basic,noisy,331,0.9033,0.7103,0.0,0.0
tfidf_relation_aware_basic,short,331,0.7795,0.0318,0.0785,0.006
tfidf_relation_aware_ops,orig,331,0.9094,0.8224,0.7038,0.4683
tfidf_relation_aware_ops,noisy,331,0.9033,0.7073,0.0,0.0
tfidf_relation_aware_ops,short,331,0.7795,0.0318,0.077,0.006
tfidf_relation_aware_semantic,orig,331,0.9094,0.8204,0.6995,0.435
tfidf_relation_aware_semantic,noisy,331,0.9033,0.7093,0.0,0.0
tfidf_relation_aware_semantic,short,331,0.7795,0.0318,0.0725,0.006
tfidf_relation_aware_full,orig,331,0.9094,0.8217,0.6962,0.4169
tfidf_relation_aware_full,noisy,331,0.9033,0.7099,0.0,0.0
tfidf_relation_aware_full,short,331,0.7795,0.0318,0.0725,0.006
tfidf_ambiguity_candidate_greedy,orig,331,0.9094,0.7875,0.7112,0.423
tfidf_ambiguity_candidate_greedy,noisy,331,0.9033,0.6801,0.0,0.0
tfidf_ambiguity_candidate_greedy,short,331,0.7795,0.0318,0.0725,0.006
tfidf_ambiguity_aware_beam,orig,331,0.9094,0.7875,0.7112,0.423
tfidf_ambiguity_aware_beam,noisy,331,0.9033,0.6801,0.0,0.0
tfidf_ambiguity_aware_beam,short,331,0.7795,0.0318,0.0725,0.006
tfidf_ambiguity_aware_abstain,orig,331,0.9094,0.2207,0.3914,0.0272
tfidf_ambiguity_aware_abstain,noisy,331,0.9033,0.237,0.0,0.0
tfidf_ambiguity_aware_abstain,short,331,0.7795,0.0152,0.0453,0.003
tfidf_ambiguity_aware_full,orig,331,0.9094,0.7994,0.7087,0.4199
tfidf_ambiguity_aware_full,noisy,331,0.9033,0.6927,0.0,0.0
tfidf_ambiguity_aware_full,short,331,0.7795,0.0318,0.0725,0.006
