group,n,Coverage_mean,TypeMatch_mean,InstReady_rate,full_coverage_rate
hit (schema_hit=1),301,0.9168,0.7964,0.5515,0.7940
miss (schema_hit=0),30,0.3333,0.2989,0.2667,0.9667
