slot_count_bucket,n,Coverage_mean,TypeMatch_mean,InstReady_rate,schema_hit_rate
0,20,0.0000,0.0000,0.0000,0.0500
1,11,0.7273,0.7273,0.7273,0.5455
2,32,0.8281,0.8594,0.7500,0.9375
3,37,0.9279,0.8829,0.7027,0.9730
4+,231,0.9400,0.7815,0.5022,0.9870
