method,Coverage_orig,Coverage_noisy,Coverage_short,Coverage_drop_noisy_%,Coverage_drop_short_%,TypeMatch_orig,TypeMatch_noisy,TypeMatch_short,TypeMatch_drop_noisy_%,TypeMatch_drop_short_%,InstReady_orig,InstReady_noisy,InstReady_short,InstReady_drop_noisy_%,InstReady_drop_short_%
tfidf_typed_greedy,0.8222,0.71,0.0333,13.6,95.9,0.2267,0.0,0.0272,100.0,88.0,0.0725,0.0,0.006,100.0,91.7
oracle_typed_greedy,0.8695,0.7536,0.0373,13.3,95.7,0.2475,0.0,0.0287,100.0,88.4,0.0816,0.0,0.003,100.0,96.3
