variant,method,R@1,R@5,MRR@10,nDCG@10,n_queries
orig,bm25,0.8822,0.9668,0.9182,0.9325,331
orig,tfidf,0.9094,0.9637,0.9334,0.9451,331
orig,lsa,0.8459,0.9456,0.8904,0.9112,331
noisy,bm25,0.8912,0.9728,0.9245,0.9386,331
noisy,tfidf,0.9033,0.9668,0.9315,0.9438,331
noisy,lsa,0.8882,0.9668,0.924,0.937,331
short,bm25,0.7674,0.8792,0.8178,0.8454,331
short,tfidf,0.7795,0.8731,0.8202,0.8436,331
short,lsa,0.7644,0.8761,0.8096,0.8342,331
