ablation,Schema_R1,Coverage,TypeMatch,InstantiationReady,ready_count,ready_gains,ready_losses,schema_recoveries,schema_regressions
A0_baseline_typed_greedy,0.9093655589123867,0.8794302206688914,0.8515453411979093,0.7764350453172205,257,0,0,0,0
A1_always_top5_frozen_score,0.9274924471299094,0.9187051451401905,0.8908202656692084,0.8157099697885196,270,13,0,6,0
A2_selective_top5_frozen_score,0.9154078549848943,0.9035994049589217,0.8757145254879395,0.8006042296072508,265,8,0,2,0
A3_selective_retrieval_only,0.9093655589123867,0.8794302206688914,0.8515453411979093,0.7764350453172205,257,0,0,0,0
A4_selective_without_coverage,0.9154078549848943,0.9005782569226678,0.8726933774516857,0.797583081570997,264,7,0,2,0
A5_selective_without_typematch,0.9154078549848943,0.9005782569226678,0.8726933774516857,0.797583081570997,264,7,0,2,0
