family,n,baseline_ready,candidate_ready,delta
id_mod5_0,67,53,54,1
id_mod5_1,66,48,50,2
id_mod5_2,66,54,57,3
id_mod5_3,66,53,54,1
id_mod5_4,66,49,50,1
